year_sold,sale_date,property_name,city,state,total_sf,price,price_per_sf,noi,multi_single_tenant,federal_funds_rate,interest_rate,inflation,10_year_treasury,cap_rate,gdp,building_age
2010,07/2010,Springbrook Praries Pavillion,Naperville,IL,319401,47163836.00,147.66,3183558.93,1,0.0018,0.0164,0.0469,0.0322,0.0675,69452217000,2
2010,12/2010,Willow Festival,Northbrook,IL,113692,21592225.00,189.92,1403494.63,1,0.0018,0.0164,0.0469,0.0322,0.0650,320358759000,3
2011,11/2011,Whole Foods - Denver,Denver,CO,141818,29935841.00,211.09,2065573.03,1,0.0010,0.0316,0.0445,0.0278,0.0690,52411746000,31
2011,12/2011,Whole Foods - Fairfield,Fairfield,CT,5000,26725168.00,5345.03,1469884.24,1,0.0010,0.0316,0.0445,0.0278,0.0550,82853670000,0
2011,01/2011,Tower Shops,Davie,FL,289303,58462337.00,202.08,3770820.74,1,0.0010,0.0316,0.0445,0.0278,0.0645,81772409000,21
2011,09/2011,Whole Foods - Fort Lauderdale,Fort Lauderdale,FL,32324,8016669.00,248.01,529100.15,0,0.0010,0.0316,0.0445,0.0278,0.0660,81772409000,45
2011,07/2011,Whole Foods - Minneapolis,Minneapolis,MN,49971,11736327.00,234.86,751124.93,0,0.0010,0.0316,0.0445,0.0278,0.0640,102379430000,12
2011,11/2011,Whole Foods - Chesterfield,Chesterfield,MO,55012,9681091.00,175.98,735762.92,0,0.0010,0.0316,0.0445,0.0278,0.0760,68917293000,3
2012,12/2012,Whole Foods - Santa Barbara,Santa Barbara,CA,29884,35000000.00,1171.20,1750000.00,0,0.0014,0.0207,0.0366,0.0180,0.0500,21854525000,42
2012,10/2012,Whole Foods - Littleton,Littleton,CO,33138,10800000.00,325.91,594000.00,0,0.0014,0.0207,0.0366,0.0180,0.0550,34198561000,15
2012,12/2012,Whole Foods - Atlanta,Atlanta,GA,53974,30898982.00,572.48,1606747.06,0,0.0014,0.0207,0.0366,0.0180,0.0520,134314837000,47
2012,12/2012,The Fountains,Overland Park,KS,102011,25370570.00,248.70,1547604.77,1,0.0014,0.0207,0.0366,0.0180,0.0610,39510379000,12
2012,03/2012,Whole Foods - Lynwood,Lynwood,WA,42766,18100000.00,423.23,1040750.00,0,0.0014,0.0207,0.0366,0.0180,0.0575,32297192000,16
2012,01/2012,Lake Grove Commons,Lake Grove,NY,132045,66320100.00,502.25,3713925.60,1,0.0014,0.0207,0.0366,0.0180,0.0560,76859133000,2
2013,01/2013,Whole Foods - Chicago,Chicago,IL,41148,11580000.00,281.42,781650.00,0,0.0011,0.0146,0.0398,0.0235,0.0675,357645409000,6
2013,06/2013,Danada Square East,Wheaton,IL,179293,25875504.00,144.32,2147666.83,1,0.0011,0.0146,0.0398,0.0235,0.0830,78783372000,24
2014,10/2014,Downtown At The Gardens,Palm Beach Gardens,FL,338925,141500000.00,417.50,8843750.00,1,0.0009,0.0162,0.0417,0.0254,0.0625,69728715000,9
2014,11/2014,Whole Foods - Chicago,Chicago,IL,54518,10403329.00,190.82,540973.11,0,0.0009,0.0162,0.0417,0.0254,0.0520,367251284000,49
2014,04/2014,Whole Foods - Park Ridge,Park Ridge,IL,38274,16600000.00,433.71,753640.00,0,0.0009,0.0162,0.0417,0.0254,0.0454,367251284000,1
2014,03/2014,Whole Foods - Highland Village,Highland Village,TX,38000,10909887.00,287.10,687322.88,0,0.0009,0.0162,0.0417,0.0254,0.0630,24645604000,0
2015,02/2015,Whole Foods - Mill Valley,Mill Valley,CA,23200,23940100.00,1031.90,1699747.10,1,0.0013,0.0012,0.0385,0.0214,0.0710,21128072000,54
2015,05/2015,Whole Foods - Naples,Naples,FL,52985,16378856.00,309.12,737048.52,0,0.0013,0.0012,0.0385,0.0214,0.0450,16124953000,7
2015,03/2015,Whole Foods - Schuamburg,Schuamburg,IL,58147,11006296.00,189.28,704402.94,0,0.0013,0.0012,0.0385,0.0214,0.0640,382626329000,5
2017,09/2017,Whole Foods - Tampa,Tampa,FL,36900,15550000.00,421.41,785275.00,0,0.0055,0.0213,0.0399,0.0233,0.0505,77317574000,5
2018,06/2018,Kennesaw Marketplace,Kennesaw,GA,111586,64300000.00,576.24,3279300.00,1,0.0142,0.0244,0.0454,0.0291,0.0510,45417267000,1
2018,10/2018,Exchange at Hammond,Sandy Springs,GA,334787,93850000.00,280.33,4786350.00,1,0.0142,0.0244,0.0454,0.0291,0.0510,152383941000,55
2018,03/2018,Sienna at St. Claire,Newton Square,PA,39510,24438000.00,618.53,1165692.60,1,0.0142,0.0244,0.0454,0.0291,0.0477,30635413000,2
2018,03/2018,Shops at MacArthur Hills,Irving,TX,75387,45000000.00,596.92,2362500.00,1,0.0142,0.0244,0.0454,0.0291,0.0525,241375801000,2
2018,11/2018,Whole Foods (STNL) - Virginia Beach,Virginia Beach,VA,40000,16700000.00,417.50,918500.00,0,0.0142,0.0244,0.0454,0.0291,0.0550,20081231000,6
2018,06/2018,Stonewall Station,Charlotte,NC,47500,34050000.00,716.84,1736550.00,1,0.0142,0.0244,0.0454,0.0291,0.0510,97637010000,1
2018,09/2018,Ridgewood Shopping Center,Raleigh,NC,88349,45835000.00,518.79,2062575.00,1,0.0142,0.0244,0.0454,0.0291,0.0450,70297010000,58
2018,12/2018,Waverly,Charlotte,NC,166000,68500000.00,412.65,4521000.00,1,0.0142,0.0244,0.0454,0.0291,0.0660,97637010000,0
2018,01/2018,The District at Metuchen,Metuchen,NJ,66567,33830000.00,508.21,1745628.00,1,0.0142,0.0244,0.0454,0.0291,0.0516,58319626000,1
2019,02/2019,Whole Foods - Sarasota,Sarasota,FL,36051,20515372.00,569.07,1077057.03,0,0.0240,0.0181,0.0392,0.0214,0.0525,21887546000,15
2019,07/2019,North Decatur Square,Decatur,GA,85942,52600000.00,612.04,2708900.00,1,0.0240,0.0181,0.0392,0.0214,0.0515,41785889000,1
2019,09/2019,Miller Street Market,Winston Salem,NC,40292,15150000.00,376.01,825675.00,1,0.0240,0.0181,0.0392,0.0214,0.0545,10446478000,19
2019,02/2019,Port Chester Shopping Center,Port Chester,NY,493459,191000000.00,387.06,9168000.00,1,0.0240,0.0181,0.0392,0.0214,0.0480,85918413000,0
2020,05/2020,Whole Foods - Chicago,Chicago,IL,78750,70900000.00,900.32,2942350.00,0,0.0155,0.0123,0.0310,0.0089,0.0415,386309013000,3
2020,02/2020,Whole Foods - Kildeer,Kildeer,IL,50000,24900000.00,498.00,1242510.00,0,0.0155,0.0123,0.0310,0.0089,0.0499,61463587000,11
2020,09/2020,Whole Foods (STNL) - Germantown,Germantown,TN,41878,18500000.00,441.76,851000.00,0,0.0155,0.0123,0.0310,0.0089,0.0460,63607931000,5
2020,06/2020,Bull City Market,Durham,NC,42500,13000000.00,305.88,689000.00,1,0.0155,0.0123,0.0310,0.0089,0.0530,36028859000,24
2021,12/2021,Midtown Whole Foods Market,Atlanta,GA,59382,53000000.00,892.53,2067000.00,1,0.0009,0.0470,2.9600,0.0145,0.0390,191139183000,3
2021,07/2021,Bedford Marketplace,Bedford,MA,1530000,54500000.00,35.62,3101050.00,1,0.0009,0.0470,2.9600,0.0145,0.0569,365714000,66
2021,02/2021,Whole Foods (STNL) - Milwaukee,Milwaukee,WI,53875,23500000.00,436.19,1410000.00,1,0.0009,0.0470,2.9600,0.0145,0.0600,59158330000,15
2022,05/2022,Centennial Lakes Plaza,Edina,MN,213382,68750000.00,322.19,3746875.00,1,0.0175,0.0591,0.0860,0.0241,0.0545,150146936000,33
2022,06/2022,Waverly Place,Cary,NC,198271,88600000.00,446.86,4430000.00,1,0.0175,0.0591,0.0860,0.0241,0.0500,94675594000,4
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
